WEEK 1,#,Organization,City,Address,Phone,Programs,Help offered,Counties,ZIPs,People reached,Counties served,ZIP codes served,Source,slug — do not edit,rent slug — do not edit,Status,Rent status,SERVICE AREA — whole county? which areas?,Funding lasts until,Reopens on,How to apply,Hours,Daily cap,Documents required,Most common reason turned away,Anything changing,Spoke with,Call outcome,Note,Called (date),VA
,167,Hernando County Housing & Supportive Services — SHIP / Temporary Rental Assistance,Brooksville,"621 W. Jefferson St, Brooksville, FL 34601",+13525404338,Assistance services,rent_assistance,1,15,"218,150",Hernando,33523 33597 34601 34602 34603 34604 34605 34606 34607 34608 34609 34611 34613 34614 34661,CornerHelp field research,hernando-county-housing-supportive-services-ship-temporary-rental-assistance,,,,,,,,,,,,,,,,,
,168,Highlands County Housing / SHIP,Sebring,"618 S. Commerce Ave, Sebring, FL 33870",+18634026648,Assistance services,rent_assistance,1,11,"109,778",Highlands,33825 33826 33852 33857 33862 33870 33871 33872 33875 33876 33960,CornerHelp field research,highlands-county-housing-ship,,,,,,,,,,,,,,,,,
,169,Impact Clay / Clay County Community Resource Guide — Rental and Homelessness Assistance,Green Cove Springs,"P.O. Box 1366, Green Cove Springs, FL 32043",+19042696300,Assistance services,"eviction_prevention, food_pantry, rent_assistance",1,11,"236,760",Clay,32003 32006 32043 32050 32065 32067 32068 32073 32234 32656 32666,CornerHelp field research,impact-clay-clay-county-community-resource-guide-rental-and-homelessness-assista,,,,,,,,,,,,,,,,,
,170,In the Image of Christ — Utility Assistance,Fort Pierce,"707 N 7th St, Fort Pierce, FL 34950",+17724617788,Assistance services,"electric_bill, gas_bill",1,21,"390,670",St. Lucie,34945 34946 34947 34948 34949 34950 34951 34952 34953 34954 34957 34979 34981 34982 34983 34984 34985 34986 34987 34988 34990,CornerHelp field research,in-the-image-of-christ-utility-assistance,,,,,,,,,,,,,,,,,
,171,Innovative Charities — Liberty County Food Pantry,Bristol,"12390 NW Central Ave, Bristol, FL 32321",+18505473786,Assistance services,food_pantry,1,3,"7,955",Liberty,32321 32334 32360,CornerHelp field research,innovative-charities-liberty-county-food-pantry,,,,,,,,,,,,,,,,,
,172,Interfaith Emergency Services — Emergency Food Pantry,Ocala,"435 NW 2nd St, Ocala, FL 34475",+13526298868,Assistance services,food_pantry,1,37,"428,905",Marion,32113 32133 32134 32162 32179 32183 32195 32617 32667 32668 32686 32696 32702 32784 34420 34421 34430 34431 34432 34470 34471 34472 34473 34474 34475 34476 34477 34478 34479 34480 34481 34482 34483 34488 34489 34491 34492,CornerHelp field research,interfaith-emergency-services-emergency-food-pantry,,,,,,,,,,,,,,,,,
,173,Jackson County Housing Assistance Office — SHIP,Marianna,"4979 Healthy Way, Suite B, Marianna, FL 32446",+18504829083,Assistance services,rent_assistance,1,12,"49,980",Jackson,32420 32423 32426 32431 32440 32442 32443 32445 32446 32447 32448 32460,CornerHelp field research,jackson-county-housing-assistance-office-ship,,,,,,,,,,,,,,,,,
,174,Jacksonville Emergency Assistance Program — Rent/Mortgage Assistance,Jacksonville,"1809 Art Museum Dr, Suite 100, Jacksonville, FL 32207",+19042552469,Assistance services,"mortgage_assistance, rent_assistance",1,46,"1,055,159",Duval,32081 32202 32203 32204 32205 32206 32207 32208 32209 32210 32211 32212 32216 32217 32218 32219 32220 32221 32222 32223 32224 32225 32226 32227 32228 32229 32233 32234 32235 32236 32238 32239 32240 32241 32244 32245 32246 32247 32250 32254 32255 32256 32257 32258 32266 32277,CornerHelp field research,jacksonville-emergency-assistance-program-rent-mortgage-assistance,,,,,,,,,,,,,,,,,
,175,Leon County SHIP Housing Rental Assistance,Tallahassee,"615 E. Paul Russell Rd, Tallahassee, FL 32301",+18506061900,Assistance services,rent_assistance,1,16,"300,488",Leon,32301 32302 32303 32304 32305 32308 32309 32310 32311 32312 32314 32315 32316 32317 32318 32362,CornerHelp field research,leon-county-ship-housing-rental-assistance,,,,,,,,,,,,,,,,,
,176,Levy County SHIP Housing Assistance,Bronson,"310 School St, Suite 112, Bronson, FL 32621",+13524865218,Assistance services,rent_assistance,1,11,"47,765",Levy,32618 32621 32625 32626 32644 32668 32693 32696 34431 34449 34498,CornerHelp field research,levy-county-ship-housing-assistance,,,,,,,,,,,,,,,,,
,177,Liberty County Grants / Housing Assistance,Bristol,,+18506432692,Assistance services,rent_assistance,1,3,"7,955",Liberty,32321 32334 32360,CornerHelp field research,liberty-county-grants-housing-assistance,,,,,,,,,,,,,,,,,
,178,Local Food Pantry Network / Second Harvest & Partner Agencies,,,+13863628860,Assistance services,food_pantry,1,7,"47,536",Suwannee,32008 32024 32060 32062 32064 32071 32094,CornerHelp field research,local-food-pantry-network-second-harvest-partner-agencies,,,,,,,,,,,,,,,,,
,179,Local Housing/Rent Assistance Referral — Calhoun County,,,+18506745067,Assistance services,rent_assistance,1,5,"13,278",Calhoun,32421 32424 32430 32438 32449,CornerHelp field research,local-housing-rent-assistance-referral-calhoun-county,,,,,,,,,,,,,,,,,
,180,Marion County Community Services — Rental / Rapid Rehousing Assistance,Ocala,"2631 SE 3rd St, Ocala, FL 34471",+13526718770,Assistance services,"eviction_prevention, rent_assistance",1,37,"428,905",Marion,32113 32133 32134 32162 32179 32183 32195 32617 32667 32668 32686 32696 32702 32784 34420 34421 34430 34431 34432 34470 34471 34472 34473 34474 34475 34476 34477 34478 34479 34480 34481 34482 34483 34488 34489 34491 34492,CornerHelp field research,marion-county-community-services-rental-rapid-rehousing-assistance,,,,,,,,,,,,,,,,,
,181,Martin County Human Services — Emergency Financial Assistance / Rental Assistance,Stuart,"435 SE Flagler Ave, Stuart, FL 34994",+17722885785,Assistance services,"electric_bill, rent_assistance",1,14,"165,666",Martin,33438 33455 33469 33475 34956 34957 34958 34990 34991 34992 34994 34995 34996 34997,CornerHelp field research,martin-county-human-services-emergency-financial-assistance-rental-assistance,,,,,,,,,,,,,,,,,
,182,Okeechobee County / Salvation Army Emergency Assistance,Okeechobee,,+18637636020,Assistance services,rent_assistance,1,3,"42,369",Okeechobee,34972 34973 34974,CornerHelp field research,okeechobee-county-salvation-army-emergency-assistance,,,,,,,,,,,,,,,,,
,183,One-Time Rental Assistance — Salvation Army / United Way of Lake & Sumter,,,+13525682284,Assistance services,"food_pantry, rent_assistance",1,12,"154,693",Sumter,32159 32162 32163 33513 33514 33521 33538 33585 33597 34484 34762 34785,CornerHelp field research,one-time-rental-assistance-salvation-army-united-way-of-lake-sumter,,,,,,,,,,,,,,,,,
,184,Orange County Citizens Commission for Children / Community Food Resources,Orlando,"2101 E. Michigan St, Orlando, FL 32806",+14078366500,Assistance services,"food_pantry, rent_assistance",1,73,"1,533,646",Orange,32703 32704 32709 32710 32712 32733 32751 32757 32768 32777 32789 32790 32792 32793 32794 32798 32801 32802 32803 32804 32805 32806 32807 32808 32809 32810 32811 32812 32814 32817 32818 32819 32820 32821 32822 32824 32825 32826 32827 32828 32829 32830 32831 32832 32833 32835 32836 32837 32839 32853 32854 32855 32856 32857 32858 32859 32860 32861 32862 32867 32868 32869 32872 32877 32878 34734 34740 34760 34761 34777 34778 34786 34787,CornerHelp field research,orange-county-citizens-commission-for-children-community-food-resources,,,,,,,,,,,,,,,,,
,185,Osceola County Housing & Community Services — Homeless Services Program,Kissimmee,,+14077428400,Assistance services,"eviction_prevention, rent_assistance",1,18,"468,058",Osceola,33848 33896 34714 34739 34741 34742 34743 34744 34745 34746 34747 34758 34759 34769 34770 34771 34772 34773,CornerHelp field research,osceola-county-housing-community-services-homeless-services-program,,,,,,,,,,,,,,,,,
,186,People Helping People in Hernando County — Food Pantry,Spring Hill,"1396 Kass Cir, Spring Hill, FL 34606",+13526864466,Assistance services,food_pantry,1,15,"218,150",Hernando,33523 33597 34601 34602 34603 34604 34605 34606 34607 34608 34609 34611 34613 34614 34661,CornerHelp field research,people-helping-people-in-hernando-county-food-pantry,,,,,,,,,,,,,,,,,
,187,Pinellas County Adult Emergency Financial Assistance Program / Catholic Charities,St. Petersburg,"647 1st Ave N, St. Petersburg, FL 33701",+17274644200,Assistance services,rent_assistance,1,69,"965,870",Pinellas,33701 33702 33703 33704 33705 33706 33707 33708 33709 33710 33711 33712 33713 33714 33715 33716 33730 33731 33732 33733 33734 33736 33738 33741 33742 33743 33744 33747 33755 33756 33757 33758 33759 33760 33761 33762 33763 33764 33765 33766 33767 33770 33771 33772 33773 33774 33775 33776 33777 33778 33779 33780 33781 33782 33784 33785 33786 34660 34677 34681 34682 34683 34684 34685 34688 34689 34695 34697 34698,CornerHelp field research,pinellas-county-adult-emergency-financial-assistance-program-catholic-charities,,,,,,,,,,,,,,,,,
,188,Polk County Housing & Neighborhood Development — Tenant-Based Rental Assistance (TBRA),Bartow,"1290 Golfview Ave, Suite 167, Bartow, FL 33830",+18635345240,Assistance services,rent_assistance,1,52,"852,878",Polk,33801 33802 33803 33804 33805 33806 33807 33809 33810 33811 33812 33813 33815 33820 33823 33827 33830 33831 33835 33836 33837 33838 33839 33840 33841 33843 33844 33845 33846 33849 33850 33851 33853 33854 33855 33856 33858 33859 33860 33867 33868 33877 33880 33881 33882 33883 33884 33885 33896 33897 33898 34759,CornerHelp field research,polk-county-housing-neighborhood-development-tenant-based-rental-assistance-tbra,,,,,,,,,,,,,,,,,
,189,Salvation Army Hope House — Emergency Rent / Rapid Re-Housing Assistance,Fernandina Beach,"410 S 9th St, Fernandina Beach, FL 32034",+19043210435,Assistance services,rent_assistance,1,7,"104,376",Nassau,32009 32011 32034 32035 32041 32046 32097,CornerHelp field research,salvation-army-hope-house-emergency-rent-rapid-re-housing-assistance,,,,,,,,,,,,,,,,,
,190,Santa Rosa County Feeding Programs / Feeding the Gulf Coast Network,,,+18504321475,Assistance services,food_pantry,1,11,"207,653",Santa Rosa,32530 32561 32562 32563 32564 32565 32566 32570 32571 32572 32583,CornerHelp field research,santa-rosa-county-feeding-programs-feeding-the-gulf-coast-network,,,,,,,,,,,,,,,,,
,191,Sarasota County Human Services / Community Housing & Homeless Resources,Sarasota,"1 Apex Rd, Sarasota, FL 34240",+19418615000,Assistance services,"eviction_prevention, rent_assistance",1,33,"476,604",Sarasota,34223 34228 34229 34230 34231 34232 34233 34234 34235 34236 34237 34238 34239 34240 34241 34242 34243 34272 34274 34275 34276 34277 34284 34285 34286 34287 34288 34289 34290 34291 34292 34293 34295,CornerHelp field research,sarasota-county-human-services-community-housing-homeless-resources,,,,,,,,,,,,,,,,,
,192,Second Harvest / Local Food Pantry Network,,,+18505847349,Assistance services,food_pantry,1,6,"21,843",Taylor,32331 32336 32347 32348 32356 32359,CornerHelp field research,second-harvest-local-food-pantry-network,,,,,,,,,,,,,,,,,
,193,Second Harvest Food Bank of Central Florida — TEFAP / Food Pantry Network,Orlando,"411 Mercy Dr, Orlando, FL 32808",+14072951066,Assistance services,food_pantry,1,35,"444,204",Lake,32102 32158 32159 32163 32195 32702 32720 32726 32727 32735 32736 32756 32757 32767 32776 32778 32784 34705 34711 34712 34713 34714 34715 34731 34736 34737 34748 34749 34753 34755 34756 34762 34788 34789 34797,CornerHelp field research,second-harvest-food-bank-of-central-florida-tefap-food-pantry-network,,,,,,,,,,,,,,,,,
,194,Second Harvest of the Big Bend — TEFAP / Local Food Pantry Network,Tallahassee,"4446 Entrepot Blvd, Tallahassee, FL 32310",+18505623033,Assistance services,food_pantry,1,12,"49,980",Jackson,32420 32423 32426 32431 32440 32442 32443 32445 32446 32447 32448 32460,CornerHelp field research,second-harvest-of-the-big-bend-tefap-local-food-pantry-network,,,,,,,,,,,,,,,,,
,195,Seminole County Community Assistance — Prevention Assistance / Good Neighbor Utility Fund,Sanford,"1101 E First St, Sanford, FL 32771",+14076652300,Assistance services,"electric_bill, eviction_prevention, gas_bill, rent_assistance",1,26,"494,605",Seminole,32701 32703 32707 32708 32714 32715 32716 32718 32719 32730 32732 32746 32747 32750 32751 32752 32762 32765 32766 32771 32772 32773 32779 32791 32792 32795,CornerHelp field research,seminole-county-community-assistance-prevention-assistance-good-neighbor-utility,,,,,,,,,,,,,,,,,
,196,St. Johns County Social Services — Emergency Assistance,St. Augustine,"200 San Sebastian View, Suite 2300, St. Augustine, FL 32084",+19042096140,Assistance services,rent_assistance,1,13,"334,928",St. Johns,32004 32033 32080 32081 32082 32084 32085 32086 32092 32095 32145 32259 32260,CornerHelp field research,st-johns-county-social-services-emergency-assistance,,,,,,,,,,,,,,,,,
,197,St. Joseph's Catholic Church / Martin County Food Assistance Network,Stuart,"1200 SE 10th St, Stuart, FL 34996",+17722872727,Assistance services,food_pantry,1,14,"165,666",Martin,33438 33455 33469 33475 34956 34957 34958 34990 34991 34992 34994 34995 34996 34997,CornerHelp field research,st-joseph-s-catholic-church-martin-county-food-assistance-network,,,,,,,,,,,,,,,,,
,198,St. Lucie County Food Assistance Sites / Local Pantry Network,Fort Pierce,"714 Avenue C, Fort Pierce, FL 34950",+17724621777,Assistance services,"food_pantry, rent_assistance",1,21,"390,670",St. Lucie,34945 34946 34947 34948 34949 34950 34951 34952 34953 34954 34957 34979 34981 34982 34983 34984 34985 34986 34987 34988 34990,CornerHelp field research,st-lucie-county-food-assistance-sites-local-pantry-network,,,,,,,,,,,,,,,,,
,199,The Children's Table / Christ Central / Farm Share Food Distributions,Lake Butler,"375 SE 7th Ave, Lake Butler, FL 32054 (The Children's Table site)",+13864961916,Assistance services,food_pantry,1,2,"15,738",Union,32054 32083,CornerHelp field research,the-children-s-table-christ-central-farm-share-food-distributions,,,,,,,,,,,,,,,,,
,200,Turning Points — HOME TBRA / Rental Assistance,Bradenton,"701 17th Ave W, Bradenton, FL 34205",+19417471509,Assistance services,rent_assistance,1,26,"458,352",Manatee,34201 34202 34203 34204 34205 34206 34207 34208 34209 34210 34211 34212 34215 34216 34217 34219 34220 34221 34222 34228 34243 34251 34264 34270 34280 34282,CornerHelp field research,turning-points-home-tbra-rental-assistance,,,,,,,,,,,,,,,,,
,201,United Way of Central Florida — George W. Jenkins End Hunger Initiative,Polk County,Multiple Polk County distribution sites,+18636481500,Assistance services,food_pantry,1,52,"852,878",Polk,33801 33802 33803 33804 33805 33806 33807 33809 33810 33811 33812 33813 33815 33820 33823 33827 33830 33831 33835 33836 33837 33838 33839 33840 33841 33843 33844 33845 33846 33849 33850 33851 33853 33854 33855 33856 33858 33859 33860 33867 33868 33877 33880 33881 33882 33883 33884 33885 33896 33897 33898 34759,CornerHelp field research,united-way-of-central-florida-george-w-jenkins-end-hunger-initiative,,,,,,,,,,,,,,,,,
,202,United Way of Lake & Sumter / Local Food Pantry Network,,,+13527877530,Assistance services,food_pantry,1,12,"154,693",Sumter,32159 32162 32163 33513 33514 33521 33538 33585 33597 34484 34762 34785,CornerHelp field research,united-way-of-lake-sumter-local-food-pantry-network,,,,,,,,,,,,,,,,,
,203,Albemarle Commission — Community Housing / Housing Repair Resources,Hertford,"512 S Church St, Hertford, NC 27944",+12524265753,Assistance services,rent_assistance,1,3,"13,460",Perquimans,27919 27944 27980,CornerHelp field research,albemarle-commission-community-housing-housing-repair-resources,,,,,,,,,,,,,,,,,
,204,Asheville Buncombe Community Christian Ministry (ABCCM) Crisis Assistance,Asheville,"24 Cumberland Ave, Asheville, NC 28801",+18282595300,Assistance services,rent_assistance,1,24,"279,210",Buncombe,28701 28704 28709 28711 28715 28728 28730 28732 28748 28753 28757 28776 28778 28787 28801 28802 28803 28804 28805 28806 28813 28814 28815 28816,CornerHelp field research,asheville-buncombe-community-christian-ministry-abccm-crisis-assistance,,,,,,,,,,,,,,,,,
,205,Blue Ridge Opportunity Commission — Housing / Community Action Services,North Wilkesboro,"710 Veterans Dr, North Wilkesboro, NC 28659",+13366677174,Assistance services,rent_assistance,1,17,"66,186",Wilkes,27020 28606 28621 28624 28635 28649 28651 28654 28659 28665 28669 28670 28676 28683 28685 28689 28697,CornerHelp field research,blue-ridge-opportunity-commission-housing-community-action-services,,,,,,,,,,,,,,,,,
,206,Buncombe County Tenant-Based Rental Assistance,Asheville,"46 Valley St, Asheville, NC 28801",+18282504834,Assistance services,rent_assistance,1,24,"279,210",Buncombe,28701 28704 28709 28711 28715 28728 28730 28732 28748 28753 28757 28776 28778 28787 28801 28802 28803 28804 28805 28806 28813 28814 28815 28816,CornerHelp field research,buncombe-county-tenant-based-rental-assistance,,,,,,,,,,,,,,,,,
,207,Burke United Christian Ministries,Morganton,"305-B W Union St, Morganton, NC 28655",+18284338075,Assistance services,rent_assistance,1,11,"88,545",Burke,28601 28602 28612 28619 28637 28655 28657 28666 28680 28690 28761,CornerHelp field research,burke-united-christian-ministries,,,,,,,,,,,,,,,,,
,208,Caldwell County Food & Nutrition Services,Lenoir,"2345 Morganton Blvd SW, Suite A, Lenoir, NC 28645",+18284268296,Assistance services,food_pantry,1,6,"80,739",Caldwell,28606 28611 28630 28638 28645 28667,CornerHelp field research,caldwell-county-food-nutrition-services,,,,,,,,,,,,,,,,,
,209,Church & Community Services Food Pantry / Scotland County FNS,Laurinburg,"108 Gil St, Laurinburg, NC 28352",+19102768330,Assistance services,"electric_bill, food_pantry, rent_assistance",1,6,"33,898",Scotland,28343 28351 28352 28353 28363 28396,CornerHelp field research,church-community-services-food-pantry-scotland-county-fns,,,,,,,,,,,,,,,,,
,210,City of Concord Housing Department,Concord,"35 Cabarrus Ave W, Concord, NC 28025",+17049206100,Assistance services,rent_assistance,1,13,"244,925",Cabarrus,28025 28026 28027 28036 28071 28075 28081 28082 28083 28097 28107 28124 28138,CornerHelp field research,city-of-concord-housing-department,,,,,,,,,,,,,,,,,
,211,Cooperative Christian Ministry — Crisis Assistance,Concord,"246 Country Club Dr NE, Concord, NC 28025",+17047864709,Assistance services,"electric_bill, rent_assistance",1,13,"244,925",Cabarrus,28025 28026 28027 28036 28071 28075 28081 28082 28083 28097 28107 28124 28138,CornerHelp field research,cooperative-christian-ministry-crisis-assistance,,,,,,,,,,,,,,,,,
,212,Crisis Control Ministry — Stokes County Emergency Assistance,Winston-Salem,,+13367247453,Assistance services,"electric_bill, food_pantry, gas_bill, rent_assistance",1,12,"45,857",Stokes,27016 27019 27021 27022 27025 27041 27042 27043 27046 27050 27052 27053,CornerHelp field research,crisis-control-ministry-stokes-county-emergency-assistance,,,,,,,,,,,,,,,,,
,213,Cumberland County Coordinated Entry / Homeless Services,,Intake location determined through program,+19104835944,Assistance services,"eviction_prevention, rent_assistance",1,22,"338,430",Cumberland,28301 28302 28303 28304 28305 28306 28307 28308 28309 28311 28312 28314 28318 28331 28344 28348 28356 28371 28382 28390 28391 28395,CornerHelp field research,cumberland-county-coordinated-entry-homeless-services,,,,,,,,,,,,,,,,,
,214,Eastern Catawba Cooperative Christian Ministry,Newton,"245 E N St, Newton, NC 28658",+18283270979,Assistance services,rent_assistance,1,12,"167,054",Catawba,28037 28168 28601 28602 28603 28609 28610 28613 28650 28658 28673 28682,CornerHelp field research,eastern-catawba-cooperative-christian-ministry,,,,,,,,,,,,,,,,,
,215,Franklin-Vance-Warren Opportunity — Housing Choice Voucher / Section 8,Henderson,"180 S Beckford Dr, Henderson, NC 27536",+12524920161,Assistance services,"electric_bill, gas_bill, rent_assistance",1,5,"42,337",Vance,27507 27536 27537 27544 27553,CornerHelp field research,franklin-vance-warren-opportunity-housing-choice-voucher-section-8,,,,,,,,,,,,,,,,,
,216,Greensboro Housing Authority — HOME-ARP Tenant-Based Rental Assistance,Greensboro,"450 N Church St, Greensboro, NC 27401",+13362758501,Assistance services,rent_assistance,1,40,"558,816",Guilford,27214 27233 27235 27249 27260 27261 27262 27263 27264 27265 27282 27283 27284 27298 27301 27310 27313 27357 27358 27377 27401 27402 27403 27404 27405 27406 27407 27408 27409 27410 27415 27416 27417 27419 27420 27425 27429 27435 27438 27455,CornerHelp field research,greensboro-housing-authority-home-arp-tenant-based-rental-assistance,,,,,,,,,,,,,,,,,
,217,Harnett County HUD Office — Housing Choice Voucher/Rental Subsidy,Sanford,"1000 Carthage St, Sanford, NC 27330",+19197767655,Assistance services,rent_assistance,1,13,"146,096",Harnett,27332 27501 27505 27521 27526 27546 28323 28326 28334 28339 28356 28368 28390,CornerHelp field research,harnett-county-hud-office-housing-choice-voucher-rental-subsidy,,,,,,,,,,,,,,,,,
,218,Hoke County Housing Authority,Raeford,"Hoke County Housing Authority; county administrative contact: 227 N Main St, Raeford, NC 28376",+19108758751,Assistance services,rent_assistance,1,5,"55,382",Hoke,28315 28357 28376 28377 28386,CornerHelp field research,hoke-county-housing-authority,,,,,,,,,,,,,,,,,
,219,House Wake! / Wake County Housing Assistance,Wake County,,+19198565689,Assistance services,rent_assistance,1,49,"1,232,444",Wake,27502 27511 27512 27513 27518 27519 27523 27526 27529 27539 27540 27545 27560 27562 27571 27587 27588 27591 27592 27597 27601 27602 27603 27604 27605 27606 27607 27608 27609 27610 27611 27612 27613 27614 27615 27616 27617 27619 27620 27622 27623 27624 27627 27628 27629 27636 27658 27661 27675,CornerHelp field research,house-wake-wake-county-housing-assistance,,,,,,,,,,,,,,,,,
,220,Mountain Projects — Section 8 Housing Choice Voucher,Sylva / Waynesville,"154 Medical Park Loop, Sylva, NC 28779 / 2177 Asheville Rd, Waynesville, NC 28786",+18285862345,Assistance services,rent_assistance,1,11,"45,281",Jackson,28717 28719 28723 28725 28736 28741 28774 28779 28783 28788 28789,CornerHelp field research,mountain-projects-section-8-housing-choice-voucher,,,,,,,,,,,,,,,,,
,221,Orange County Emergency Housing Assistance (EHA),Chapel Hill / Hillsborough,"Southern Human Services Center: 2501 Homestead Rd, Chapel Hill, NC 27516; Hillsborough Commons: 113 Mayo St, Hillsborough, NC 27278",+19192452655,Assistance services,rent_assistance,1,12,"152,877",Orange,27231 27243 27278 27302 27510 27514 27515 27516 27517 27541 27572 27705,CornerHelp field research,orange-county-emergency-housing-assistance-eha,,,,,,,,,,,,,,,,,
,222,Person County Habitat for Humanity / Housing Assistance,Person County,,+13365972206,Assistance services,rent_assistance,1,7,"40,143",Person,27291 27343 27541 27572 27573 27574 27583,CornerHelp field research,person-county-habitat-for-humanity-housing-assistance,,,,,,,,,,,,,,,,,
,223,Roanoke-Chowan Regional Housing Authority — Housing Choice Voucher/Public Housing,Gaston,"205 Tinsley Way, Gaston, NC 27832",+12525371051,Assistance services,rent_assistance,1,8,"46,992",Halifax,27823 27839 27843 27844 27850 27870 27874 27890,CornerHelp field research,roanoke-chowan-regional-housing-authority-housing-choice-voucher-public-housing,,,,,,,,,,,,,,,,,
,224,Sharing House — Food & Fresh Produce,Brevard,"892 Asheville Hwy, Brevard, NC 28712",+18288842866,Assistance services,"electric_bill, food_pantry, rent_assistance",1,9,"34,103",Transylvania,28708 28712 28718 28742 28747 28766 28768 28772 28774,CornerHelp field research,sharing-house-food-fresh-produce,,,,,,,,,,,,,,,,,
,225,Stanly Community Christian Ministry — Financial Assistance,Albemarle,"506 S 1st St, Albemarle, NC 28001",+19827915104,Assistance services,"electric_bill, rent_assistance",1,11,"67,326",Stanly,28001 28002 28009 28071 28097 28124 28127 28128 28129 28137 28163,CornerHelp field research,stanly-community-christian-ministry-financial-assistance,,,,,,,,,,,,,,,,,
,226,Troy/Montgomery Senior Center — Housing Assistance / Referral,Troy,"228 N Main St, Troy, NC 27371",+19105724464,Assistance services,rent_assistance,1,8,"26,364",Montgomery,27209 27229 27281 27306 27341 27356 27371 28127,CornerHelp field research,troy-montgomery-senior-center-housing-assistance-referral,,,,,,,,,,,,,,,,,
,227,United Way of Wayne County — U-CAN Utility Assistance,Goldsboro,"309 N William St, Goldsboro, NC 27530",+19197353591,Assistance services,"electric_bill, gas_bill, rent_assistance",1,13,"120,338",Wayne,27530 27532 27533 27534 27542 27569 27830 27863 27883 28333 28365 28551 28578,CornerHelp field research,united-way-of-wayne-county-u-can-utility-assistance,,,,,,,,,,,,,,,,,
,228,WAMY Community Action — Housing Program / Urgent Repair / Home Rehabilitation,Boone,"225 Birch St, Suite 2, Boone, NC 28607",+18282642421,Assistance services,rent_assistance,1,8,"54,997",Watauga,28604 28605 28607 28618 28679 28684 28692 28698,CornerHelp field research,wamy-community-action-housing-program-urgent-repair-home-rehabilitation,,,,,,,,,,,,,,,,,
