CornerHelp — master provider call sheet · 99 organizations · all 254 Texas counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements list will be given after scheduled appointment,,,,,,,,,,,,,,,,FILL THESE IN — in the order the script asks for them. Blank beats guessed.,,,,,,,,,,,,,,,,,,
WEEK 1,#,Organization,City,Address,Phone,Programs,Help offered,Counties,ZIPs,People reached,Counties served,ZIP codes served,Source,slug — do not edit,rent slug — do not edit,Status,Rent status,SERVICE AREA — whole county? which areas?,Funding lasts until,Reopens on,How to apply,Hours,Daily cap,Documents required,Most common reason turned away,Anything changing,Spoke with,Call outcome,Note,Called (date),VA,,,
,304,Blue Ridge Opportunity Commission — Housing / Community Action Services,North Wilkesboro,"710 Veterans Dr, North Wilkesboro, NC 28659",13366677174,Assistance services,rent_assistance,1,17,"66,186",Wilkes,27020 28606 28621 28624 28635 28649 28651 28654 28659 28665 28669 28670 28676 28683 28685 28689 28697,CornerHelp field research,blue-ridge-opportunity-commission-housing-community-action-services,,,,,,,,,,,,,,,,,,,,
,305,Buncombe County Tenant-Based Rental Assistance,Asheville,"46 Valley St, Asheville, NC 28801",18282504834,Assistance services,rent_assistance,1,24,"279,210",Buncombe,28701 28704 28709 28711 28715 28728 28730 28732 28748 28753 28757 28776 28778 28787 28801 28802 28803 28804 28805 28806 28813 28814 28815 28816,CornerHelp field research,buncombe-county-tenant-based-rental-assistance,,,,,,,,,,,,,,,,,,,,
,306,Burke United Christian Ministries,Morganton,"305-B W Union St, Morganton, NC 28655",18284338075,Assistance services,rent_assistance,1,11,"88,545",Burke,28601 28602 28612 28619 28637 28655 28657 28666 28680 28690 28761,CornerHelp field research,burke-united-christian-ministries,,,,,,,,,,,,,,,,,,,,
,307,Caldwell County Food & Nutrition Services,Lenoir,"2345 Morganton Blvd SW, Suite A, Lenoir, NC 28645",18284268296,Assistance services,food_pantry,1,6,"80,739",Caldwell,28606 28611 28630 28638 28645 28667,CornerHelp field research,caldwell-county-food-nutrition-services,,,,,,,,,,,,,,,,,,,,
,308,Church & Community Services Food Pantry / Scotland County FNS,Laurinburg,"108 Gil St, Laurinburg, NC 28352",19102768330,Assistance services,"electric_bill, food_pantry, rent_assistance",1,6,"33,898",Scotland,28343 28351 28352 28353 28363 28396,CornerHelp field research,church-community-services-food-pantry-scotland-county-fns,,,,,,,,,,,,,,,,,,,,
,309,City of Concord Housing Department,Concord,"35 Cabarrus Ave W, Concord, NC 28025",17049206100,Assistance services,rent_assistance,1,13,"244,925",Cabarrus,28025 28026 28027 28036 28071 28075 28081 28082 28083 28097 28107 28124 28138,CornerHelp field research,city-of-concord-housing-department,,,,,,,,,,,,,,,,,,,,
,310,Cooperative Christian Ministry — Crisis Assistance,Concord,"246 Country Club Dr NE, Concord, NC 28025",17047864709,Assistance services,"electric_bill, rent_assistance",1,13,"244,925",Cabarrus,28025 28026 28027 28036 28071 28075 28081 28082 28083 28097 28107 28124 28138,CornerHelp field research,cooperative-christian-ministry-crisis-assistance,,,,,,,,,,,,,,,,,,,,
,311,Crisis Control Ministry — Stokes County Emergency Assistance,Winston-Salem,,13367247453,Assistance services,"electric_bill, food_pantry, gas_bill, rent_assistance",1,12,"45,857",Stokes,27016 27019 27021 27022 27025 27041 27042 27043 27046 27050 27052 27053,CornerHelp field research,crisis-control-ministry-stokes-county-emergency-assistance,,,,,,,,,,,,,,,,,,,,
,312,Cumberland County Coordinated Entry / Homeless Services,,Intake location determined through program,19104835944,Assistance services,"eviction_prevention, rent_assistance",1,22,"338,430",Cumberland,28301 28302 28303 28304 28305 28306 28307 28308 28309 28311 28312 28314 28318 28331 28344 28348 28356 28371 28382 28390 28391 28395,CornerHelp field research,cumberland-county-coordinated-entry-homeless-services,,,,,,,,,,,,,,,,,,,,
,313,Eastern Catawba Cooperative Christian Ministry,Newton,"245 E N St, Newton, NC 28658",18283270979,Assistance services,rent_assistance,1,12,"167,054",Catawba,28037 28168 28601 28602 28603 28609 28610 28613 28650 28658 28673 28682,CornerHelp field research,eastern-catawba-cooperative-christian-ministry,,,,,,,,,,,,,,,,,,,,
,314,Franklin-Vance-Warren Opportunity — Housing Choice Voucher / Section 8,Henderson,"180 S Beckford Dr, Henderson, NC 27536",12524920161,Assistance services,"electric_bill, gas_bill, rent_assistance",1,5,"42,337",Vance,27507 27536 27537 27544 27553,CornerHelp field research,franklin-vance-warren-opportunity-housing-choice-voucher-section-8,,,,,,,,,,,,,,,,,,,,
,315,Greensboro Housing Authority — HOME-ARP Tenant-Based Rental Assistance,Greensboro,"450 N Church St, Greensboro, NC 27401",13362758501,Assistance services,rent_assistance,1,40,"558,816",Guilford,27214 27233 27235 27249 27260 27261 27262 27263 27264 27265 27282 27283 27284 27298 27301 27310 27313 27357 27358 27377 27401 27402 27403 27404 27405 27406 27407 27408 27409 27410 27415 27416 27417 27419 27420 27425 27429 27435 27438 27455,CornerHelp field research,greensboro-housing-authority-home-arp-tenant-based-rental-assistance,,,,,,,,,,,,,,,,,,,,
,316,Harnett County HUD Office — Housing Choice Voucher/Rental Subsidy,Sanford,"1000 Carthage St, Sanford, NC 27330",19197767655,Assistance services,rent_assistance,1,13,"146,096",Harnett,27332 27501 27505 27521 27526 27546 28323 28326 28334 28339 28356 28368 28390,CornerHelp field research,harnett-county-hud-office-housing-choice-voucher-rental-subsidy,,,,,,,,,,,,,,,,,,,,
,317,Hoke County Housing Authority,Raeford,"Hoke County Housing Authority; county administrative contact: 227 N Main St, Raeford, NC 28376",19108758751,Assistance services,rent_assistance,1,5,"55,382",Hoke,28315 28357 28376 28377 28386,CornerHelp field research,hoke-county-housing-authority,,,,,,,,,,,,,,,,,,,,
,318,House Wake! / Wake County Housing Assistance,Wake County,,19198565689,Assistance services,rent_assistance,1,49,"1,232,444",Wake,27502 27511 27512 27513 27518 27519 27523 27526 27529 27539 27540 27545 27560 27562 27571 27587 27588 27591 27592 27597 27601 27602 27603 27604 27605 27606 27607 27608 27609 27610 27611 27612 27613 27614 27615 27616 27617 27619 27620 27622 27623 27624 27627 27628 27629 27636 27658 27661 27675,CornerHelp field research,house-wake-wake-county-housing-assistance,,,,,,,,,,,,,,,,,,,,
,319,Mountain Projects — Section 8 Housing Choice Voucher,Sylva / Waynesville,"154 Medical Park Loop, Sylva, NC 28779 / 2177 Asheville Rd, Waynesville, NC 28786",18285862345,Assistance services,rent_assistance,1,11,"45,281",Jackson,28717 28719 28723 28725 28736 28741 28774 28779 28783 28788 28789,CornerHelp field research,mountain-projects-section-8-housing-choice-voucher,,,,,,,,,,,,,,,,,,,,
,320,Orange County Emergency Housing Assistance (EHA),Chapel Hill / Hillsborough,"Southern Human Services Center: 2501 Homestead Rd, Chapel Hill, NC 27516; Hillsborough Commons: 113 Mayo St, Hillsborough, NC 27278",19192452655,Assistance services,rent_assistance,1,12,"152,877",Orange,27231 27243 27278 27302 27510 27514 27515 27516 27517 27541 27572 27705,CornerHelp field research,orange-county-emergency-housing-assistance-eha,,,,,,,,,,,,,,,,,,,,
,321,Person County Habitat for Humanity / Housing Assistance,Person County,,13365972206,Assistance services,rent_assistance,1,7,"40,143",Person,27291 27343 27541 27572 27573 27574 27583,CornerHelp field research,person-county-habitat-for-humanity-housing-assistance,,,,,,,,,,,,,,,,,,,,
,322,Roanoke-Chowan Regional Housing Authority — Housing Choice Voucher/Public Housing,Gaston,"205 Tinsley Way, Gaston, NC 27832",12525371051,Assistance services,rent_assistance,1,8,"46,992",Halifax,27823 27839 27843 27844 27850 27870 27874 27890,CornerHelp field research,roanoke-chowan-regional-housing-authority-housing-choice-voucher-public-housing,,,,,,,,,,,,,,,,,,,,
,323,Sharing House — Food & Fresh Produce,Brevard,"892 Asheville Hwy, Brevard, NC 28712",18288842866,Assistance services,"electric_bill, food_pantry, rent_assistance",1,9,"34,103",Transylvania,28708 28712 28718 28742 28747 28766 28768 28772 28774,CornerHelp field research,sharing-house-food-fresh-produce,,,,,,,,,,,,,,,,,,,,
,324,Stanly Community Christian Ministry — Financial Assistance,Albemarle,"506 S 1st St, Albemarle, NC 28001",19827915104,Assistance services,"electric_bill, rent_assistance",1,11,"67,326",Stanly,28001 28002 28009 28071 28097 28124 28127 28128 28129 28137 28163,CornerHelp field research,stanly-community-christian-ministry-financial-assistance,,,,,,,,,,,,,,,,,,,,
,325,Troy/Montgomery Senior Center — Housing Assistance / Referral,Troy,"228 N Main St, Troy, NC 27371",19105724464,Assistance services,rent_assistance,1,8,"26,364",Montgomery,27209 27229 27281 27306 27341 27356 27371 28127,CornerHelp field research,troy-montgomery-senior-center-housing-assistance-referral,,,,,,,,,,,,,,,,,,,,
,326,United Way of Wayne County — U-CAN Utility Assistance,Goldsboro,"309 N William St, Goldsboro, NC 27530",19197353591,Assistance services,"electric_bill, gas_bill, rent_assistance",1,13,"120,338",Wayne,27530 27532 27533 27534 27542 27569 27830 27863 27883 28333 28365 28551 28578,CornerHelp field research,united-way-of-wayne-county-u-can-utility-assistance,,,,,,,,,,,,,,,,,,,,
,327,WAMY Community Action — Housing Program / Urgent Repair / Home Rehabilitation,Boone,"225 Birch St, Suite 2, Boone, NC 28607",18282642421,Assistance services,rent_assistance,1,8,"54,997",Watauga,28604 28605 28607 28618 28679 28684 28692 28698,CornerHelp field research,wamy-community-action-housing-program-urgent-repair-home-rehabilitation,,,,,,,,,,,,,,,,,,,,
,328,Bertie County DSS — CIP/LIEAP,Windsor,"110 Jasper Bazemore Ave., Windsor, NC 27983",252-794-5320,Assistance Program,electric_bill,,,,Bertie,,,,,,,,,,,,,,,,,,,,,,,
,329,Bertie County DSS — Food & Nutrition Services,Windsor,"110 Jasper Bazemore Ave., Windsor, NC 27983",252-794-5320,Assistance Program,food_pantry,,,,Bertie,,,,,,,,,,,,,,,,,,,,,,,
,330,Bladen County DSS — Emergency Assistance / Housing Crisis Support,Elizabethtown,"208 McKay St., Elizabethtown, NC 28337",910-862-6800,Assistance Program,rent_assistance,,,,Bladen,,,,,,,,,,,,,,,,,,,,,,,
,331,Bladen County DSS — CIP/LIEAP,Elizabethtown,"208 McKay St., Elizabethtown, NC 28337",910-862-6800,Assistance Program,electric_bill,,,,Bladen,,,,,,,,,,,,,,,,,,,,,,,
,332,Bladen County DSS — Food & Nutrition Services,Elizabethtown,"208 McKay St., Elizabethtown, NC 28337",910-862-6800,Assistance Program,food_pantry,,,,Bladen,,,,,,,,,,,,,,,,,,,,,,,
,333,Brunswick County DSS — Emergency Assistance / Housing Crisis Support,Bolivia,"60 Government Dr. NE, Bolivia, NC 28422",910-253-2077,Assistance Program,rent_assistance,,,,Brunswick,,,,,,,,,,,,,,,,,,,,,,,
,334,Brunswick County DSS — CIP/LIEAP,Bolivia,"60 Government Dr. NE, Bolivia, NC 28422",910-253-2077,Assistance Program,electric_bill,,,,Brunswick,,,,,,,,,,,,,,,,,,,,,,,
,335,Brunswick County DSS — Food & Nutrition Services,Bolivia,"60 Government Dr. NE, Bolivia, NC 28422",910-253-2077,Assistance Program,food_pantry,,,,Brunswick,,,,,,,,,,,,,,,,,,,,,,,
,336,Buncombe County Tenant-Based Rental Assistance,Asheville,"46 Valley St, Asheville, NC 28801",828-250-4834,Assistance Program,rent_assistance,,,,Buncombe,,,,,,,,,,,,,,,,,,,,,,,
,337,Asheville Buncombe Community Christian Ministry (ABCCM) Crisis Assistance,Asheville,"24 Cumberland Ave, Asheville, NC 28801",828-259-5300,Assistance Program,rent_assistance,,,,Buncombe,,,,,,,,,,,,,,,,,,,,,,,
,338,Buncombe County DHHS / Community Energy Assistance,Asheville,"40 Coxe Ave, Asheville, NC 28801",828-250-5500,Assistance Program,"electric_bill, gas_bill",,,,Buncombe,,,,,,,,,,,,,,,,,,,,,,,
,339,Buncombe County Food Assistance / FNS,Asheville,"40 Coxe Ave, Asheville, NC 28801",828-250-5500,Assistance Program,food_pantry,,,,Buncombe,,,,,,,,,,,,,,,,,,,,,,,
,340,Burke United Christian Ministries,Morganton,"305-B W Union St, Morganton, NC 28655",828-433-8075,Assistance Program,rent_assistance,,,,Burke,,,,,,,,,,,,,,,,,,,,,,,
,341,Burke County DSS — Crisis Intervention Program (CIP),Morganton,"700 E Parker Rd, Morganton, NC 28680",828-764-9600,Assistance Program,electric_bill,,,,Burke,,,,,,,,,,,,,,,,,,,,,,,
,342,Burke County DSS — Food & Nutrition Services,Morganton,"700 E Parker Rd, Morganton, NC 28680",828-764-9600,Assistance Program,food_pantry,,,,Burke,,,,,,,,,,,,,,,,,,,,,,,
,343,Cooperative Christian Ministry — Crisis Assistance,Concord,"246 Country Club Dr NE, Concord, NC 28025",704-786-4709,Assistance Program,rent_assistance,,,,Cabarrus,,,,,,,,,,,,,,,,,,,,,,,
,344,City of Concord Housing Department,Concord,"35 Cabarrus Ave W, Concord, NC 28025",704-920-6100,Assistance Program,rent_assistance,,,,Cabarrus,,,,,,,,,,,,,,,,,,,,,,,
,345,Cooperative Christian Ministry — Crisis Assistance,Concord,"246 Country Club Dr NE, Concord, NC 28025",704-786-4709,Assistance Program,electric_bill,,,,Cabarrus,,,,,,,,,,,,,,,,,,,,,,,
,346,Cabarrus County CHSA — Food & Nutrition Services,Kannapolis,"1303 S Cannon Blvd, Kannapolis, NC 28083",704-920-1400,Assistance Program,food_pantry,,,,Cabarrus,,,,,,,,,,,,,,,,,,,,,,,
,347,Caldwell County DSS — Emergency Assistance / Housing Support,Lenoir,"2345 Morganton Blvd SW, Suite A, Lenoir, NC 28645",828-426-8200,Assistance Program,rent_assistance,,,,Caldwell,,,,,,,,,,,,,,,,,,,,,,,
,348,Caldwell County DSS — CIP/LIEAP,Lenoir,"2345 Morganton Blvd SW, Suite A, Lenoir, NC 28645",828-426-8200,Assistance Program,electric_bill,,,,Caldwell,,,,,,,,,,,,,,,,,,,,,,,
,349,Caldwell County Food & Nutrition Services,Lenoir,"2345 Morganton Blvd SW, Suite A, Lenoir, NC 28645",828-426-8296,Assistance Program,food_pantry,,,,Caldwell,,,,,,,,,,,,,,,,,,,,,,,
,350,Camden County DSS — Emergency Assistance/Housing Referral,Camden,"117 NC Hwy 343 N, Camden, NC 27921",252-331-4787,Assistance Program,rent_assistance,,,,Camden,,,,,,,,,,,,,,,,,,,,,,,
,351,Camden County DSS — CIP/LIEAP,Camden,"117 NC Hwy 343 N, Camden, NC 27921",252-331-4787,Assistance Program,electric_bill,,,,Camden,,,,,,,,,,,,,,,,,,,,,,,
,352,Camden County DSS — Food & Nutrition Services,Camden,"117 NC Hwy 343 N, Camden, NC 27921",252-331-4787,Assistance Program,food_pantry,,,,Camden,,,,,,,,,,,,,,,,,,,,,,,
,353,Carteret County Work First Emergency Assistance,Beaufort,"210 Craven St, Beaufort, NC 28516",252-728-3181,Assistance Program,rent_assistance,,,,Carteret,,,,,,,,,,,,,,,,,,,,,,,
,354,Carteret County Work First Emergency Assistance / CIP,Beaufort,"210 Craven St, Beaufort, NC 28516",252-728-3181,Assistance Program,electric_bill,,,,Carteret,,,,,,,,,,,,,,,,,,,,,,,
,355,Carteret County DSS — Food & Nutrition Services,Beaufort,"210 Craven St, Beaufort, NC 28516",252-728-3181,Assistance Program,food_pantry,,,,Carteret,,,,,,,,,,,,,,,,,,,,,,,
,356,Caswell County DSS — Emergency Assistance/Housing Support,Yanceyville,"175 County Park Rd, Yanceyville, NC 27379",336-694-4141,Assistance Program,rent_assistance,,,,Caswell,,,,,,,,,,,,,,,,,,,,,,,
,357,Caswell County DSS — CIP/LIEAP,Yanceyville,"175 County Park Rd, Yanceyville, NC 27379",336-694-4141,Assistance Program,electric_bill,,,,Caswell,,,,,,,,,,,,,,,,,,,,,,,
,358,Caswell County DSS — Food & Nutrition Services,Yanceyville,"175 County Park Rd, Yanceyville, NC 27379",336-694-4141,Assistance Program,food_pantry,,,,Caswell,,,,,,,,,,,,,,,,,,,,,,,
,359,Eastern Catawba Cooperative Christian Ministry,Newton,"245 E N St, Newton, NC 28658",828-327-0979,Assistance Program,rent_assistance,,,,Catawba,,,,,,,,,,,,,,,,,,,,,,,
,360,Catawba County DSS — CIP/LIEAP,Hickory,"3030 11th Ave Dr SE, Hickory, NC 28602",828-695-5600,Assistance Program,electric_bill,,,,Catawba,,,,,,,,,,,,,,,,,,,,,,,
,361,Catawba County Food & Nutrition Services,Hickory,"3030 11th Ave Dr SE, Hickory, NC 28602",828-695-5600,Assistance Program,food_pantry,,,,Catawba,,,,,,,,,,,,,,,,,,,,,,,
,362,Chatham County Work First Emergency Assistance,Pittsboro,"12 East St, Pittsboro, NC 27312",919-542-2759,Assistance Program,rent_assistance,,,,Chatham,,,,,,,,,,,,,,,,,,,,,,,
,363,Chatham County Work First Emergency Assistance / CIP,Pittsboro,"12 East St, Pittsboro, NC 27312",919-542-2759,Assistance Program,electric_bill,,,,Chatham,,,,,,,,,,,,,,,,,,,,,,,
,364,Chatham County DSS — Food & Nutrition Services,Pittsboro,"12 East St, Pittsboro, NC 27312",919-542-2759,Assistance Program,food_pantry,,,,Chatham,,,,,,,,,,,,,,,,,,,,,,,
,365,HERE in Jackson County — Housing Stabilization Services,Verify current location,Provider location to be confirmed during intake,Verify with provider,Assistance Program,"eviction_prevention, rent_assistance",,,,Cherokee,,,,,,,,,,,,,,,,,,,,,,,
,366,Cherokee County DSS — CIP/LIEAP,Murphy,"4800 W US Hwy 64, Murphy, NC 28906",828-837-7455,Assistance Program,electric_bill,,,,Cherokee,,,,,,,,,,,,,,,,,,,,,,,
,367,Cherokee County DSS — Food & Nutrition Services,Murphy,"4800 W US Hwy 64, Murphy, NC 28906",828-837-7455,Assistance Program,food_pantry,,,,Cherokee,,,,,,,,,,,,,,,,,,,,,,,
,368,Chowan County DSS — Emergency Assistance/Housing Support,Edenton,"100 W Freemason St, Edenton, NC 27932",252-482-7441,Assistance Program,rent_assistance,,,,Chowan,,,,,,,,,,,,,,,,,,,,,,,
,369,Chowan County DSS — CIP/LIEAP,Edenton,"100 W Freemason St, Edenton, NC 27932",252-482-7441,Assistance Program,electric_bill,,,,Chowan,,,,,,,,,,,,,,,,,,,,,,,
,370,Chowan County DSS — Food & Nutrition Services,Edenton,"100 W Freemason St, Edenton, NC 27932",252-482-7441,Assistance Program,food_pantry,,,,Chowan,,,,,,,,,,,,,,,,,,,,,,,
,371,Clay County DSS — Emergency Assistance/Housing Support,Hayesville,"345 Courthouse Dr, Hayesville, NC 28904",828-389-6301,Assistance Program,rent_assistance,,,,Clay,,,,,,,,,,,,,,,,,,,,,,,
,372,Clay County DSS — CIP/LIEAP,Hayesville,"345 Courthouse Dr, Hayesville, NC 28904",828-389-6301,Assistance Program,electric_bill,,,,Clay,,,,,,,,,,,,,,,,,,,,,,,
,373,Clay County DSS — Food & Nutrition Services,Hayesville,"345 Courthouse Dr, Hayesville, NC 28904",828-389-6301,Assistance Program,food_pantry,,,,Clay,,,,,,,,,,,,,,,,,,,,,,,
,374,Cleveland County DSS — Emergency Assistance,Shelby,"130 S Post Rd, Shelby, NC 28152",704-487-0661,Assistance Program,rent_assistance,,,,Cleveland,,,,,,,,,,,,,,,,,,,,,,,
,375,Cleveland County DSS — CIP/LIEAP,Shelby,"130 S Post Rd, Shelby, NC 28152",704-487-0661,Assistance Program,electric_bill,,,,Cleveland,,,,,,,,,,,,,,,,,,,,,,,
,376,Cleveland County DSS — Food & Nutrition Services,Shelby,"130 S Post Rd, Shelby, NC 28152",704-487-0661,Assistance Program,food_pantry,,,,Cleveland,,,,,,,,,,,,,,,,,,,,,,,
,377,Columbus County DSS — Emergency Assistance/Housing Support,Whiteville,"40 Government Complex Rd, Whiteville, NC 28472",910-641-3000,Assistance Program,rent_assistance,,,,Columbus,,,,,,,,,,,,,,,,,,,,,,,
,378,Columbus County DSS — CIP/LIEAP,Whiteville,"40 Government Complex Rd, Whiteville, NC 28472",910-641-3000,Assistance Program,electric_bill,,,,Columbus,,,,,,,,,,,,,,,,,,,,,,,
,379,Columbus County DSS — Food & Nutrition Services,Whiteville,"40 Government Complex Rd, Whiteville, NC 28472",910-641-3000,Assistance Program,food_pantry,,,,Columbus,,,,,,,,,,,,,,,,,,,,,,,
,380,Craven County DSS — Emergency Assistance,New Bern,"2818 Neuse Blvd, New Bern, NC 28562",252-636-4900,Assistance Program,rent_assistance,,,,Craven,,,,,,,,,,,,,,,,,,,,,,,
,381,Craven County DSS — CIP/LIEAP,New Bern,"2818 Neuse Blvd, New Bern, NC 28562",252-636-4900,Assistance Program,electric_bill,,,,Craven,,,,,,,,,,,,,,,,,,,,,,,
,382,Craven County DSS — Food & Nutrition Services,New Bern,"2818 Neuse Blvd, New Bern, NC 28562",252-636-4900,Assistance Program,food_pantry,,,,Craven,,,,,,,,,,,,,,,,,,,,,,,
,383,Cumberland County Coordinated Entry / Homeless Services,Verify current location,Intake location determined through program,910-483-5944,Assistance Program,"eviction_prevention, rent_assistance",,,,Cumberland,,,,,,,,,,,,,,,,,,,,,,,
,384,Cumberland County DSS — CIP/LIEAP,Fayetteville,"1225 Ramsey St, Fayetteville, NC 28301",910-323-1540,Assistance Program,electric_bill,,,,Cumberland,,,,,,,,,,,,,,,,,,,,,,,
,385,Cumberland County DSS — Food & Nutrition Services,Fayetteville,"1225 Ramsey St, Fayetteville, NC 28301",910-323-1540,Assistance Program,food_pantry,,,,Cumberland,,,,,,,,,,,,,,,,,,,,,,,
,386,Currituck County DSS — Emergency Assistance/Housing Support,Currituck,"153 Courthouse Rd, Suite 107, Currituck, NC 27929",252-232-3083,Assistance Program,rent_assistance,,,,Currituck,,,,,,,,,,,,,,,,,,,,,,,
,387,Currituck County DSS — CIP/LIEAP,Currituck,"153 Courthouse Rd, Suite 107, Currituck, NC 27929",252-232-3083,Assistance Program,electric_bill,,,,Currituck,,,,,,,,,,,,,,,,,,,,,,,
,388,Currituck County DSS — Food & Nutrition Services,Currituck,"153 Courthouse Rd, Suite 107, Currituck, NC 27929",252-232-3083,Assistance Program,food_pantry,,,,Currituck,,,,,,,,,,,,,,,,,,,,,,,
,389,Dare County DSS — Housing/Homelessness Assistance,Manteo,"954 Marshall C Collins Dr, Manteo, NC 27954",252-475-5800,Assistance Program,"eviction_prevention, rent_assistance",,,,Dare,,,,,,,,,,,,,,,,,,,,,,,
,390,Dare County DSS — CIP/LIEAP,Manteo,"954 Marshall C Collins Dr, Manteo, NC 27954",252-475-5800,Assistance Program,electric_bill,,,,Dare,,,,,,,,,,,,,,,,,,,,,,,
,391,Dare County DSS — Food & Nutrition Services,Manteo,"954 Marshall C Collins Dr, Manteo, NC 27954",252-475-5800,Assistance Program,food_pantry,,,,Dare,,,,,,,,,,,,,,,,,,,,,,,
,392,Davidson County DSS — Emergency Assistance/Housing Support,Lexington,"913 Greensboro St, Lexington, NC 27292",336-242-2000,Assistance Program,rent_assistance,,,,Davidson,,,,,,,,,,,,,,,,,,,,,,,
,393,Davidson County DSS — CIP/LIEAP,Lexington,"913 Greensboro St, Lexington, NC 27292",336-242-2000,Assistance Program,electric_bill,,,,Davidson,,,,,,,,,,,,,,,,,,,,,,,
,394,Davidson County DSS — Food & Nutrition Services,Lexington,"913 Greensboro St, Lexington, NC 27292",336-242-2000,Assistance Program,food_pantry,,,,Davidson,,,,,,,,,,,,,,,,,,,,,,,
,395,Davie County DSS — Emergency Assistance/Housing Support,Mocksville,"154 Government Center Dr, Mocksville, NC 27028",336-753-6250,Assistance Program,rent_assistance,,,,Davie,,,,,,,,,,,,,,,,,,,,,,,
,396,Davie County DSS — CIP/LIEAP,Mocksville,"154 Government Center Dr, Mocksville, NC 27028",336-753-6250,Assistance Program,electric_bill,,,,Davie,,,,,,,,,,,,,,,,,,,,,,,
,397,Davie County DSS — Food & Nutrition Services,Mocksville,"154 Government Center Dr, Mocksville, NC 27028",336-753-6250,Assistance Program,food_pantry,,,,Davie,,,,,,,,,,,,,,,,,,,,,,,
,398,Duplin County DSS — Work First Emergency Assistance,Kenansville,"423 N Main St, Kenansville, NC 28349",910-296-2200,Assistance Program,rent_assistance,,,,Duplin,,,,,,,,,,,,,,,,,,,,,,,
,399,Duplin County DSS — CIP/LIEAP,Kenansville,"423 N Main St, Kenansville, NC 28349",910-296-2200,Assistance Program,electric_bill,,,,Duplin,,,,,,,,,,,,,,,,,,,,,,,
,400,Duplin County DSS — Food & Nutrition Services,Kenansville,"423 N Main St, Kenansville, NC 28349",910-296-2200,Assistance Program,food_pantry,,,,Duplin,,,,,,,,,,,,,,,,,,,,,,,
,401,Durham County DSS — Emergency Assistance / Housing Support,Durham,"414 E Main St, Durham, NC 27701",919-560-8000,Assistance Program,rent_assistance,,,,Durham,,,,,,,,,,,,,,,,,,,,,,,
,402,Durham County DSS — Crisis Intervention Program / Energy Assistance,Durham,"414 E Main St, Durham, NC 27701",919-560-8000,Assistance Program,"electric_bill, gas_bill",,,,Durham,,,,,,,,,,,,,,,,,,,,,,,
,403,Durham County DSS — Food & Nutrition Services,Durham,"414 E Main St, Durham, NC 27701",919-560-8000,Assistance Program,food_pantry,,,,Durham,,,,,,,,,,,,,,,,,,,,,,,
,404,Edgecombe County DSS — Emergency Assistance / Housing Crisis Support,Tarboro,"122 E St James St, Tarboro, NC 27886",252-641-7611,Assistance Program,rent_assistance,,,,Edgecombe,,,,,,,,,,,,,,,,,,,,,,,
,405,Edgecombe County DSS — CIP/LIEAP,Tarboro,"122 E St James St, Tarboro, NC 27886",252-641-7611,Assistance Program,electric_bill,,,,Edgecombe,,,,,,,,,,,,,,,,,,,,,,,
,406,Edgecombe County DSS — Food & Nutrition Services,Tarboro,"122 E St James St, Tarboro, NC 27886",252-641-7611,Assistance Program,food_pantry,,,,Edgecombe,,,,,,,,,,,,,,,,,,,,,,,
,407,Forsyth County DSS — Emergency Assistance / Housing Support,Winston-Salem,"741 N Highland Ave, Winston-Salem, NC 27101",336-703-3800,Assistance Program,rent_assistance,,,,Forsyth,,,,,,,,,,,,,,,,,,,,,,,
,408,Forsyth County DSS — CIP/LIEAP,Winston-Salem,"741 N Highland Ave, Winston-Salem, NC 27101",336-703-3800,Assistance Program,electric_bill,,,,Forsyth,,,,,,,,,,,,,,,,,,,,,,,
,409,Forsyth County DSS — Food & Nutrition Services,Winston-Salem,"741 N Highland Ave, Winston-Salem, NC 27101",336-703-3800,Assistance Program,food_pantry,,,,Forsyth,,,,,,,,,,,,,,,,,,,,,,,
,410,Franklin County DSS — Emergency Assistance / Housing Crisis Support,Louisburg,"107-A Industrial Dr, Louisburg, NC 27549",919-496-5721,Assistance Program,rent_assistance,,,,Franklin,,,,,,,,,,,,,,,,,,,,,,,
,411,Franklin County DSS — CIP/LIEAP,Louisburg,"107-A Industrial Dr, Louisburg, NC 27549",919-496-5721,Assistance Program,electric_bill,,,,Franklin,,,,,,,,,,,,,,,,,,,,,,,
,412,Franklin County DSS — Food & Nutrition Services,Louisburg,"107-A Industrial Dr, Louisburg, NC 27549",919-496-5721,Assistance Program,food_pantry,,,,Franklin,,,,,,,,,,,,,,,,,,,,,,,
,413,Gaston County DSS — Emergency Assistance / Housing Support,Gastonia,"330 Dr Martin Luther King Jr Way, Gastonia, NC 28052",704-862-7500,Assistance Program,"gas_bill, rent_assistance",,,,Gaston,,,,,,,,,,,,,,,,,,,,,,,
,414,Gaston County DSS — CIP/LIEAP,Gastonia,"330 Dr Martin Luther King Jr Way, Gastonia, NC 28052",704-862-7500,Assistance Program,electric_bill,,,,Gaston,,,,,,,,,,,,,,,,,,,,,,,
,415,Gaston County DSS — Food & Nutrition Services,Gastonia,"330 Dr Martin Luther King Jr Way, Gastonia, NC 28052",704-862-7500,Assistance Program,food_pantry,,,,Gaston,,,,,,,,,,,,,,,,,,,,,,,
