CornerHelp — master provider call sheet · 99 organizations · all 254 Texas counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements list will be given after scheduled appointment,,,,,,,,,,,,,,,,FILL THESE IN — in the order the script asks for them. Blank beats guessed.,,,,,,,,,,,,,,,,,,
WEEK 1,#,Organization,City,Address,Phone,Programs,Help offered,Counties,ZIPs,People reached,Counties served,ZIP codes served,Source,slug — do not edit,rent slug — do not edit,Status,Rent status,SERVICE AREA — whole county? which areas?,Funding lasts until,Reopens on,How to apply,Hours,Daily cap,Documents required,Most common reason turned away,Anything changing,Spoke with,Call outcome,Note,Called (date),VA,,,
,166,Hamilton County SHIP,Jasper,"1153 US Hwy 41 NW, Suite 2, Jasper, FL 32052",386-792-0507,Assistance Program,rent_assistance,,,,Hamilton County,,,,,,,,,,,,,,,,,,,,,,,
,167,"LIHEAP — Suwannee River Economic Council, Inc.",Hamilton County,Verify Hamilton County local intake location,386-792-1136,Assistance Program,"electric_bill, gas_bill",,,,Hamilton County,,,,,,,,,,,,,,,,,,,,,,,
,168,Hamilton County Community Resources & Second Harvest of the Big Bend,Jasper,"1153 US Hwy 41 NW, Jasper, FL 32052",386-792-6647,Assistance Program,food_pantry,,,,Hamilton County,,,,,,,,,,,,,,,,,,,,,,,
,169,Hardee Help Center — Emergency Assistance,Wauchula,"1330 US Hwy 17 South, Wauchula, FL 33873",863-773-0034,Assistance Program,rent_assistance,,,,Hardee County,,,,,,,,,,,,,,,,,,,,,,,
,170,LIHEAP — Step Up Suncoast,Hardee County,Verify current Hardee County intake location,941-827-0188,Assistance Program,"electric_bill, gas_bill",,,,Hardee County,,,,,,,,,,,,,,,,,,,,,,,
,171,Hardee Help Center — Crisis Food Assistance,Wauchula,"1330 US Hwy 17 South, Wauchula, FL 33873",863-773-0034,Assistance Program,food_pantry,,,,Hardee County,,,,,,,,,,,,,,,,,,,,,,,
,172,Hendry County SHIP / Housing Assistance,Hendry County,Hendry County SHIP — verify current intake location,863-675-5297,Assistance Program,rent_assistance,,,,Hendry County,,,,,,,,,,,,,,,,,,,,,,,
,173,"LIHEAP — Agricultural & Labor Program, Inc. (ALPI)",LaBelle / Lake Alfred,"165 Lee St, LaBelle, FL 33935 I Main office: 300 Lynchburg Rd., Lake Alfred, FL 33850",863-675-0114,Assistance Program,"electric_bill, gas_bill",,,,Hendry County,,,,,,,,,,,,,,,,,,,,,,,
,174,Harry Chapin Food Bank / Local Partner Pantries,Fort Myers,"3760 Fowler St, Fort Myers, FL 33901 (food-bank office; local distributions vary)",239-334-7007,Assistance Program,food_pantry,,,,Hendry County,,,,,,,,,,,,,,,,,,,,,,,
,175,Hernando County Housing & Supportive Services — SHIP / Temporary Rental Assistance,Brooksville,"621 W. Jefferson St, Brooksville, FL 34601",352-540-4338,Assistance Program,rent_assistance,,,,Hernando County,,,,,,,,,,,,,,,,,,,,,,,
,176,LIHEAP — You Thrive Florida,Hernando County,Verify current Hernando County LIHEAP intake site,352-796-1425,Assistance Program,"electric_bill, gas_bill",,,,Hernando County,,,,,,,,,,,,,,,,,,,,,,,
,177,People Helping People in Hernando County — Food Pantry,Spring Hill,"1396 Kass Cir, Spring Hill, FL 34606",352-686-4466,Assistance Program,food_pantry,,,,Hernando County,,,,,,,,,,,,,,,,,,,,,,,
,178,Highlands County Housing / SHIP,Sebring,"618 S. Commerce Ave, Sebring, FL 33870",863-402-6648,Assistance Program,rent_assistance,,,,Highlands County,,,,,,,,,,,,,,,,,,,,,,,
,179,"LIHEAP — Agricultural and Labor Program, Inc. (ALPI)",Avon Park,"1306 S. Tulane Ave, Avon Park, FL 33825 (verify current client-intake site)",863-657-2076,Assistance Program,"electric_bill, gas_bill",,,,Highlands County,,,,,,,,,,,,,,,,,,,,,,,
,180,Heartland Food Bank / Local Partner Pantry Network,Sebring,"P.O. Box 249, Sebring, FL 33871",863-385-7885,Assistance Program,food_pantry,,,,Highlands County,,,,,,,,,,,,,,,,,,,,,,,
,181,Hillsborough County Affordable Housing Services / Housing Assistance,Tampa,"601 E. Kennedy Blvd, 24th Floor, Tampa, FL 33602",813-612-5397,Assistance Program,rent_assistance,,,,Hillsborough County,,,,,,,,,,,,,,,,,,,,,,,
,182,LIHEAP — Hillsborough Health and Social Services,Tampa,"Lee Davis Community Resource Center, 3402 N. 22nd St, Tampa, FL 33605",813-272-5220,Assistance Program,"electric_bill, gas_bill",,,,Hillsborough County,,,,,,,,,,,,,,,,,,,,,,,
,183,Feeding Tampa Bay — Food Assistance Network,Tampa,"3624 Causeway Blvd, Tampa, FL 33619",813-254-1190,Assistance Program,food_pantry,,,,Hillsborough County,,,,,,,,,,,,,,,,,,,,,,,
,184,West Florida Regional Planning Council — Housing Rehabilitation / Housing Assistance,Holmes County,Verify Holmes County intake location,850-595-8910,Assistance Program,rent_assistance,,,,Holmes County,,,,,,,,,,,,,,,,,,,,,,,
,185,"LIHEAP — Tri-County Community Council, Inc.",Bonifay,Verify current Bonifay intake location,850-547-4921,Assistance Program,"electric_bill, gas_bill",,,,Holmes County,,,,,,,,,,,,,,,,,,,,,,,
,186,Bonifay First United Methodist Church — Food Pantry,Bonifay,"202 N Oklahoma St, Bonifay, FL 32425",850-547-3785,Assistance Program,food_pantry,,,,Holmes County,,,,,,,,,,,,,,,,,,,,,,,
,187,Economic Opportunities Council of Indian River County — Emergency Assistance,Vero Beach,"2455 St. Lucie Ave, Vero Beach, FL 32960",772-562-4177,Assistance Program,rent_assistance,,,,Indian River County,,,,,,,,,,,,,,,,,,,,,,,
,188,LIHEAP — Economic Opportunities Council of Indian River County,Vero Beach,"2455 St. Lucie Ave, Vero Beach, FL 32960",772-562-4177,Assistance Program,"electric_bill, gas_bill",,,,Indian River County,,,,,,,,,,,,,,,,,,,,,,,
,189,Economic Opportunities Council of Indian River County — Emergency Food Assistance,Vero Beach,"2455 St. Lucie Ave, Vero Beach, FL 32960",772-562-4177,Assistance Program,food_pantry,,,,Indian River County,,,,,,,,,,,,,,,,,,,,,,,
,190,Jackson County Housing Assistance Office — SHIP,Marianna,"4979 Healthy Way, Suite B, Marianna, FL 32446",850-482-9083,Assistance Program,rent_assistance,,,,Jackson County,,,,,,,,,,,,,,,,,,,,,,,
,191,LIHEAP — Jackson County Senior Citizens Organization,Graceville,"5400 Cliff St, Graceville, FL 32440",850-263-4650,Assistance Program,"electric_bill, gas_bill",,,,Jackson County,,,,,,,,,,,,,,,,,,,,,,,
,192,Second Harvest of the Big Bend — TEFAP / Local Food Pantry Network,Tallahassee,"4446 Entrepot Blvd, Tallahassee, FL 32310",850-562-3033,Assistance Program,food_pantry,,,,Jackson County,,,,,,,,,,,,,,,,,,,,,,,
,193,Capital Area Community Action Agency — Emergency Services / Rent Assistance,Jefferson County,Verify current Jefferson County intake location,850-997-2702,Assistance Program,rent_assistance,,,,Jefferson County,,,,,,,,,,,,,,,,,,,,,,,
,194,Capital Area Community Action Agency — LIHEAP,Jefferson County,Verify current Jefferson County intake location,850-997-2702,Assistance Program,"electric_bill, gas_bill",,,,Jefferson County,,,,,,,,,,,,,,,,,,,,,,,
,195,Capital Area Community Action Agency — Food Pantry / Mobile Rural Food Pantry,Jefferson County,Verify current Jefferson County food-distribution site,850-997-2702,Assistance Program,food_pantry,,,,Jefferson County,,,,,,,,,,,,,,,,,,,,,,,
,196,Suwannee River Economic Council — SHIP Housing Assistance,Lafayette County,Lafayette County Client/Senior Service Center — verify street address before visit,386-294-2202,Assistance Program,rent_assistance,,,,Lafayette County,,,,,,,,,,,,,,,,,,,,,,,
,197,Suwannee River Economic Council — LIHEAP / Share the Light,Lafayette County,Lafayette County Client / Senior Service Center — verify street address,386-294-2202,Assistance Program,"electric_bill, gas_bill",,,,Lafayette County,,,,,,,,,,,,,,,,,,,,,,,
,198,Florida Department of Health in Lafayette County — WIC,Mayo,"140 SW Virginia Circle, Mayo, FL 32066",800-342-3556,Assistance Program,food_pantry,,,,Lafayette County,,,,,,,,,,,,,,,,,,,,,,,
,199,Lake County SHIP Rental Assistance,Tavares,"2008 Classique Ln, Tavares, FL 32778",352-742-6540,Assistance Program,rent_assistance,,,,Lake County,,,,,,,,,,,,,,,,,,,,,,,
,200,Lake Community Action Agency — LIHEAP,Lake County,Verify current Lake County intake address,352-602-4150,Assistance Program,"electric_bill, gas_bill",,,,Lake County,,,,,,,,,,,,,,,,,,,,,,,
,201,Second Harvest Food Bank of Central Florida — TEFAP / Food Pantry Network,Orlando,"411 Mercy Dr, Orlando, FL 32808",407-295-1066,Assistance Program,food_pantry,,,,Lake County,,,,,,,,,,,,,,,,,,,,,,,
,202,Lee County Human & Veteran Services — Rent/Mortgage & Water Financial Assistance,Fort Myers,"2440 Thompson St, Fort Myers, FL 33901",239-533-7900,Assistance Program,"mortgage_assistance, rent_assistance, water_bill",,,,Lee County,,,,,,,,,,,,,,,,,,,,,,,
,203,Lee County Human & Veteran Services — LIHEAP Crisis Assistance,Fort Myers,"2440 Thompson St, Fort Myers, FL 33901",239-533-7900,Assistance Program,"electric_bill, gas_bill",,,,Lee County,,,,,,,,,,,,,,,,,,,,,,,
,204,Harry Chapin Food Bank of Southwest Florida — TEFAP / Local Partner Pantries,Fort Myers,"3760 Fowler St, Fort Myers, FL 33901",239-334-7007,Assistance Program,food_pantry,,,,Lee County,,,,,,,,,,,,,,,,,,,,,,,
,205,Marion County Community Services — Rental / Rapid Rehousing Assistance,Ocala,"2631 SE 3rd St, Ocala, FL 34471",352-671-8770,Assistance Program,"eviction_prevention, rent_assistance",,,,Marion County,,,,,,,,,,,,,,,,,,,,,,,
,206,Leon County SHIP Housing Rental Assistance,Tallahassee,"615 E. Paul Russell Rd, Tallahassee, FL 32301",850-606-1900,Assistance Program,rent_assistance,,,,Leon County,,,,,,,,,,,,,,,,,,,,,,,
,207,Capital Area Community Action Agency — LIHEAP,Tallahassee,"309 Office Plaza Dr, Tallahassee, FL 32301",850-222-2043,Assistance Program,"electric_bill, gas_bill",,,,Leon County,,,,,,,,,,,,,,,,,,,,,,,
,208,Second Harvest of the Big Bend — Food Pantry Network,Tallahassee,"4446 Entrepot Blvd, Tallahassee, FL 32310",850-562-3033,Assistance Program,food_pantry,,,,Leon County,,,,,,,,,,,,,,,,,,,,,,,
,209,Levy County SHIP Housing Assistance,Bronson,"310 School St, Suite 112, Bronson, FL 32621",352-486-5218,Assistance Program,rent_assistance,,,,Levy County,,,,,,,,,,,,,,,,,,,,,,,
,210,Central Florida Community Action Agency — LIHEAP,Chiefland,"215 SW 5th St, Chiefland, FL 32626",352-493-1734,Assistance Program,"electric_bill, gas_bill",,,,Levy County,,,,,,,,,,,,,,,,,,,,,,,
,211,Liberty County Grants / Housing Assistance,Bristol,"10818 NW SR 20, Bristol, FL 32321 (verify before visit)",850-643-2692,Assistance Program,rent_assistance,,,,Liberty County,,,,,,,,,,,,,,,,,,,,,,,
,212,Capital Area Community Action Agency — LIHEAP,Blountstown,"20859 Central Ave E, Blountstown, FL 32424 (regional office; verify intake)",850-674-5067,Assistance Program,"electric_bill, gas_bill",,,,Liberty County,,,,,,,,,,,,,,,,,,,,,,,
,213,Innovative Charities — Liberty County Food Pantry,Bristol,"12390 NW Central Ave, Bristol, FL 32321",850-547-3786,Assistance Program,food_pantry,,,,Liberty County,,,,,,,,,,,,,,,,,,,,,,,
,214,Suwannee River Economic Council — Housing/SHIP Assistance,Madison,"705 E. Base St, Madison, FL 32340",386-364-5799,Assistance Program,rent_assistance,,,,Madison County,,,,,,,,,,,,,,,,,,,,,,,
,215,Suwannee River Economic Council — LIHEAP,Madison,"705 E. Base St, Madison, FL 32340",386-362-4115,Assistance Program,"electric_bill, gas_bill",,,,Madison County,,,,,,,,,,,,,,,,,,,,,,,
,216,Turning Points — HOME TBRA / Rental Assistance,Bradenton,"701 17th Ave W, Bradenton, FL 34205",941-747-1509,Assistance Program,rent_assistance,,,,Manatee County,,,,,,,,,,,,,,,,,,,,,,,
,217,Step Up Suncoast — LIHEAP / Season of Sharing,Sarasota,"6428 Parkland Dr, Sarasota, FL 34243",941-827-0188,Assistance Program,"electric_bill, gas_bill",,,,Manatee County,,,,,,,,,,,,,,,,,,,,,,,
,218,Central Florida Community Action Agency — LIHEAP,Marion County,Verify current Marion County intake location,352-732-3008,Assistance Program,"electric_bill, gas_bill",,,,Marion County,,,,,,,,,,,,,,,,,,,,,,,
,219,Interfaith Emergency Services — Emergency Food Pantry,Ocala,"435 NW 2nd St, Ocala, FL 34475",352-629-8868,Assistance Program,food_pantry,,,,Marion County,,,,,,,,,,,,,,,,,,,,,,,
,220,Martin County Human Services — Emergency Financial Assistance / Rental Assistance,Stuart,"435 SE Flagler Ave, Stuart, FL 34994",772-288-5785,Assistance Program,rent_assistance,,,,Martin County,,,,,,,,,,,,,,,,,,,,,,,
,221,Martin County — Care to Share / Lend a Hand,Stuart,"435 SE Flagler Ave, Stuart, FL 34994",772-288-5785,Assistance Program,electric_bill,,,,Martin County,,,,,,,,,,,,,,,,,,,,,,,
,222,St. Joseph's Catholic Church / Martin County Food Assistance Network,Stuart,"1200 SE 10th St, Stuart, FL 34996",772-287-2727,Assistance Program,food_pantry,,,,Martin County,,,,,,,,,,,,,,,,,,,,,,,
,223,Miami-Dade County Community Action & Human Services — Rental / Eviction Assistance,Miami,"Stephen P. Clark Center, 111 NW 1st St, Miami, FL 33128",305-375-CARE (2273),Assistance Program,"eviction_prevention, rent_assistance",,,,Miami-Dade County,,,,,,,,,,,,,,,,,,,,,,,
,224,Miami-Dade County Community Action Agency — LIHEAP / Care to Share,Miami,"Stephen P. Clark Center, 111 NW 1st St, Miami, FL 33128",786-469-4640,Assistance Program,"electric_bill, gas_bill",,,,Miami-Dade County,,,,,,,,,,,,,,,,,,,,,,,
,225,Monroe County Community Support Services — Rental Assistance,Key West,"1100 Simonton St, Suite 1-190, Key West, FL 33040",305-292-4408,Assistance Program,rent_assistance,,,,Monroe County,,,,,,,,,,,,,,,,,,,,,,,
,226,Monroe County Community Support Services — LIHEAP,Key West,"1100 Simonton St, Suite 1-190, Key West, FL 33040",305-292-4408,Assistance Program,"electric_bill, gas_bill",,,,Monroe County,,,,,,,,,,,,,,,,,,,,,,,
,227,Monroe County Community Support Services — Food Assistance / Local Nutrition Referrals,Key West,"1100 Simonton St, Suite 1-190, Key West, FL 33040",305-292-4408,Assistance Program,food_pantry,,,,Monroe County,,,,,,,,,,,,,,,,,,,,,,,
,228,Salvation Army Hope House — Emergency Rent / Rapid Re-Housing Assistance,Fernandina Beach,"410 S 9th St, Fernandina Beach, FL 32034",904-321-0435,Assistance Program,rent_assistance,,,,Nassau County,,,,,,,,,,,,,,,,,,,,,,,
,229,Northeast Florida Community Action Agency — LIHEAP,Fernandina Beach,"1303 Jasmine St, Suite 100, Fernandina Beach, FL 32034",904-261-0801,Assistance Program,"electric_bill, gas_bill",,,,Nassau County,,,,,,,,,,,,,,,,,,,,,,,
,230,Nassau County Food Pantry Network / Feeding Northeast Florida Partners,Varies by pantry,Varies by pantry,904-261-0801,Assistance Program,food_pantry,,,,Nassau County,,,,,,,,,,,,,,,,,,,,,,,
,231,Tri-County Community Council — Emergency Assistance / Community Services,Crestview / Fort Walton Beach,"290 Martin Luther Ave, Crestview, FL 32536 / 111 Racetrack Rd NW, Fort Walton Beach, FL 32547",850-306-1134,Assistance Program,food_pantry,,,,Okaloosa County,,,,,,,,,,,,,,,,,,,,,,,
,232,LIHEAP — Tri-County Community Council,Crestview / Fort Walton Beach,"290 Martin Luther Ave, Crestview, FL 32536 / 111 Racetrack Rd NW, Fort Walton Beach, FL 32547",850-306-1134,Assistance Program,"electric_bill, gas_bill",,,,Okaloosa County,,,,,,,,,,,,,,,,,,,,,,,
,233,Tri-County Community Council — Food Pantry,Crestview / Fort Walton Beach,"290 Martin Luther Ave, Crestview, FL 32536 / 111 Racetrack Rd NW, Fort Walton Beach, FL 32547",850-306-1134,Assistance Program,food_pantry,,,,Okaloosa County,,,,,,,,,,,,,,,,,,,,,,,
,234,Okeechobee County / Salvation Army Emergency Assistance,Okeechobee,"205 NE 2nd St, Okeechobee, FL 34972 (verify before visit)",863-763-6020,Assistance Program,rent_assistance,,,,Okeechobee County,,,,,,,,,,,,,,,,,,,,,,,
,235,LIHEAP — Economic Opportunities Council of Indian River County,Okeechobee,"1798 NW 9th Ave, Okeechobee, FL 34972",863-357-2240,Assistance Program,"electric_bill, gas_bill",,,,Okeechobee County,,,,,,,,,,,,,,,,,,,,,,,
,236,Big Lake Mission Outreach — Food Assistance,Okeechobee,"901 NW 7th Ave, Okeechobee, FL 34972 (verify)",863-763-4654,Assistance Program,food_pantry,,,,Okeechobee County,,,,,,,,,,,,,,,,,,,,,,,
,237,Orange County Crisis Assistance Program (CAP),Orlando,"2100 E. Michigan St, Orlando, FL 32806",407-836-6500,Assistance Program,rent_assistance,,,,Orange County,,,,,,,,,,,,,,,,,,,,,,,
,238,Orange County Community Action — LIHEAP,Orlando,"2100 E. Michigan St, Orlando, FL 32806",407-836-7429,Assistance Program,"electric_bill, gas_bill",,,,Orange County,,,,,,,,,,,,,,,,,,,,,,,
,239,Orange County Citizens Commission for Children / Community Food Resources,Orlando,"2101 E. Michigan St, Orlando, FL 32806",407-836-6500,Assistance Program,food_pantry,,,,Orange County,,,,,,,,,,,,,,,,,,,,,,,
,240,Osceola County Housing & Community Services — Homeless Services Program,Kissimmee,"1392 E. Vine St, Kissimmee, FL 34744 (verify intake location)",407-742-8400,Assistance Program,"eviction_prevention, rent_assistance",,,,Osceola County,,,,,,,,,,,,,,,,,,,,,,,
,241,Osceola County Council on Aging — LIHEAP / Emergency Energy Assistance,Kissimmee,"700 Generation Point, Kissimmee, FL 34744",407-846-8532,Assistance Program,"electric_bill, gas_bill",,,,Osceola County,,,,,,,,,,,,,,,,,,,,,,,
,242,Osceola Council on Aging — Food Pantry,Kissimmee,"704 Generation Point, Kissimmee, FL 34744",407-846-8532,Assistance Program,food_pantry,,,,Osceola County,,,,,,,,,,,,,,,,,,,,,,,
,243,Palm Beach County Community Services — Emergency Rental Assistance / ERA,West Palm Beach,"810 Datura St, West Palm Beach, FL 33401",833-273-9455,Assistance Program,rent_assistance,,,,Palm Beach County,,,,,,,,,,,,,,,,,,,,,,,
,244,Palm Beach County Community Action — LIHEAP,West Palm Beach,"810 Datura St, West Palm Beach, FL 33401",561-355-4792,Assistance Program,"electric_bill, gas_bill",,,,Palm Beach County,,,,,,,,,,,,,,,,,,,,,,,
,245,Palm Beach County Community Action — Food & Nutrition,West Palm Beach,"810 Datura St, West Palm Beach, FL 33401",833-273-9455,Assistance Program,food_pantry,,,,Palm Beach County,,,,,,,,,,,,,,,,,,,,,,,
,246,"Catholic Charities, Diocese of St. Petersburg — Financial Assistance",New Port Richey,"5609 US Hwy 19, Suite I, New Port Richey, FL 34652",813-631-4370,Assistance Program,rent_assistance,,,,Pasco County,,,,,,,,,,,,,,,,,,,,,,,
,247,You Thrive Florida — LIHEAP,Pasco County,Verify current Pasco intake location before visit,352-796-1425,Assistance Program,"electric_bill, gas_bill",,,,Pasco County,,,,,,,,,,,,,,,,,,,,,,,
,248,Feeding You With Love Food Pantry — East Pasco Meals on Wheels,Zephyrhills,"38112 15th Ave, Zephyrhills, FL 33542",656-232-9355,Assistance Program,"food_pantry, hot_meals",,,,Pasco County,,,,,,,,,,,,,,,,,,,,,,,
,249,Pinellas County Adult Emergency Financial Assistance Program / Catholic Charities,St. Petersburg,"647 1st Ave N, St. Petersburg, FL 33701",727-464-4200,Assistance Program,rent_assistance,,,,Pinellas County,,,,,,,,,,,,,,,,,,,,,,,
,250,Pinellas County Urban League — LIHEAP,St. Petersburg,"333 31st St N, St. Petersburg, FL 33713",727-327-0977,Assistance Program,"electric_bill, gas_bill",,,,Pinellas County,,,,,,,,,,,,,,,,,,,,,,,
,251,Polk County Housing & Neighborhood Development — Tenant-Based Rental Assistance (TBRA),Bartow,"1290 Golfview Ave, Suite 167, Bartow, FL 33830",863-534-5240,Assistance Program,rent_assistance,,,,Polk County,,,,,,,,,,,,,,,,,,,,,,,
,252,"Agricultural and Labor Program, Inc. (ALPI) — LIHEAP",Lake Alfred,"300 Lynchburg Rd, Lake Alfred, FL 33850",863-247-3001,Assistance Program,"electric_bill, gas_bill",,,,Polk County,,,,,,,,,,,,,,,,,,,,,,,
,253,United Way of Central Florida — George W. Jenkins End Hunger Initiative,Polk County,Multiple Polk County distribution sites,863-648-1500,Assistance Program,food_pantry,,,,Polk County,,,,,,,,,,,,,,,,,,,,,,,
,254,Catholic Charities St. Augustine — Emergency Financial Assistance,Palatka,"1000 Husson Ave, Palatka, FL 32177",386-328-2333,Assistance Program,rent_assistance,,,,Putnam County,,,,,,,,,,,,,,,,,,,,,,,
,255,Northeast Florida Community Action Agency — LIHEAP,Palatka,"302 Reid St, Palatka, FL 32177",386-385-3954,Assistance Program,"electric_bill, gas_bill",,,,Putnam County,,,,,,,,,,,,,,,,,,,,,,,
,256,Catholic Charities St. Augustine — Rural Outreach / Food Assistance,Palatka,"1000 Husson Ave, Palatka, FL 32177",386-328-2333,Assistance Program,food_pantry,,,,Putnam County,,,,,,,,,,,,,,,,,,,,,,,
,257,St. Johns County Social Services — Emergency Assistance,St. Augustine,"200 San Sebastian View, Suite 2300, St. Augustine, FL 32084",904-209-6140,Assistance Program,rent_assistance,,,,St. Johns County,,,,,,,,,,,,,,,,,,,,,,,
,258,Northeast Florida Community Action Agency — LIHEAP,St. Augustine,"1300 Duval St, St. Augustine, FL 32084",904-824-0978,Assistance Program,"electric_bill, gas_bill",,,,St. Johns County,,,,,,,,,,,,,,,,,,,,,,,
,259,Catholic Charities St. Augustine — Emergency/Rural Food Assistance,St. Augustine,"525 SR 16, Unit 111-112, St. Augustine, FL 32084",904-829-6300,Assistance Program,food_pantry,,,,St. Johns County,,,,,,,,,,,,,,,,,,,,,,,
,260,St. Lucie County Rental Assistance Program,Fort Pierce,"714 Avenue C, 2nd Floor, Fort Pierce, FL 34950",772-462-1777,Assistance Program,rent_assistance,,,,Saint Lucie County,,,,,,,,,,,,,,,,,,,,,,,
,261,In the Image of Christ — Utility Assistance,Fort Pierce,"707 N 7th St, Fort Pierce, FL 34950",772-461-7788,Assistance Program,"electric_bill, gas_bill",,,,Saint Lucie County,,,,,,,,,,,,,,,,,,,,,,,
,262,St. Lucie County Food Assistance Sites / Local Pantry Network,Fort Pierce,"714 Avenue C, Fort Pierce, FL 34950",772-462-1777,Assistance Program,food_pantry,,,,Saint Lucie County,,,,,,,,,,,,,,,,,,,,,,,
,263,Emergency Rental Assistance — Catholic Charities / Interfaith Ministries / Opening Doors,Varies by provider,Varies by provider,850-436-6425 opt. 1,Assistance Program,rent_assistance,,,,Santa Rosa County,,,,,,,,,,,,,,,,,,,,,,,
,264,Tri-County Community Council — LIHEAP,Santa Rosa County,Verify current Santa Rosa intake office,850-981-0036,Assistance Program,"electric_bill, gas_bill",,,,Santa Rosa County,,,,,,,,,,,,,,,,,,,,,,,
,265,Santa Rosa County Feeding Programs / Feeding the Gulf Coast Network,Varies by pantry/site,Varies by pantry/site,850-432-1475,Assistance Program,food_pantry,,,,Santa Rosa County,,,,,,,,,,,,,,,,,,,,,,,
,266,Sarasota County Human Services / Community Housing & Homeless Resources,Sarasota,"1 Apex Rd, Sarasota, FL 34240",941-861-5000,Assistance Program,"eviction_prevention, rent_assistance",,,,Sarasota County,,,,,,,,,,,,,,,,,,,,,,,
,267,The Salvation Army — LIHEAP,Sarasota,Verify current Sarasota intake location,941-954-4673,Assistance Program,"electric_bill, gas_bill",,,,Sarasota County,,,,,,,,,,,,,,,,,,,,,,,
,268,All Faiths Food Bank — Food Assistance Network,Sarasota,"8171 Blaikie Ct, Sarasota, FL 34240",941-379-6333,Assistance Program,food_pantry,,,,Sarasota County,,,,,,,,,,,,,,,,,,,,,,,
,269,Seminole County Community Assistance — Prevention Assistance,Sanford,"520 W Lake Mary Blvd, Suite 100, Sanford, FL 32773",407-665-2300,Assistance Program,"eviction_prevention, rent_assistance",,,,Seminole County,,,,,,,,,,,,,,,,,,,,,,,
,270,Seminole County Community Assistance — Prevention Assistance / Good Neighbor Utility Fund,Sanford,"1101 E First St, Sanford, FL 32771",407-665-2300,Assistance Program,"electric_bill, eviction_prevention, gas_bill",,,,Seminole County,,,,,,,,,,,,,,,,,,,,,,,
,271,Harvest Time International / Seminole County Food Pantry Network,Sanford,"225 Harvest Time Dr, Sanford, FL 32771",407-328-9900,Assistance Program,food_pantry,,,,Seminole County,,,,,,,,,,,,,,,,,,,,,,,
,272,One-Time Rental Assistance — Salvation Army / United Way of Lake & Sumter,Varies by provider,Varies by provider,352-568-2284,Assistance Program,food_pantry,,,,Sumter County,,,,,,,,,,,,,,,,,,,,,,,
,273,You Thrive Florida — LIHEAP,Sumter County,Verify current Sumter intake location,352-769-1425,Assistance Program,"electric_bill, gas_bill",,,,Sumter County,,,,,,,,,,,,,,,,,,,,,,,
,274,United Way of Lake & Sumter / Local Food Pantry Network,Varies by pantry/site,Varies by pantry/site,352-787-7530,Assistance Program,food_pantry,,,,Sumter County,,,,,,,,,,,,,,,,,,,,,,,
,275,St. Lucie County Rental Assistance Program,Fort Pierce,"714 Avenue C, 2nd Floor, Fort Pierce, FL 34950",772-462-1777,Assistance Program,rent_assistance,,,,Saint Lucie County,,,,,,,,,,,,,,,,,,,,,,,
,276,In the Image of Christ — Utility Assistance,Fort Pierce,"707 N 7th St, Fort Pierce, FL 34950",772-461-7788,Assistance Program,"electric_bill, gas_bill",,,,Saint Lucie County,,,,,,,,,,,,,,,,,,,,,,,
,277,St. Lucie County Food Assistance Sites / Local Pantry Network,Fort Pierce,"714 Avenue C, Fort Pierce, FL 34950",772-462-1777,Assistance Program,food_pantry,,,,Saint Lucie County,,,,,,,,,,,,,,,,,,,,,,,
,278,Emergency Rental Assistance — Catholic Charities / Interfaith Ministries / Opening Doors,Varies by provider,Varies by provider,850-436-6425 opt. 1,Assistance Program,rent_assistance,,,,Santa Rosa County,,,,,,,,,,,,,,,,,,,,,,,
,279,Tri-County Community Council — LIHEAP,Santa Rosa County,Verify current Santa Rosa intake office,850-981-0036,Assistance Program,"electric_bill, gas_bill",,,,Santa Rosa County,,,,,,,,,,,,,,,,,,,,,,,
,280,The Salvation Army — LIHEAP,Sarasota,Verify current Sarasota intake location,941-954-4673,Assistance Program,"electric_bill, gas_bill",,,,Sarasota County,,,,,,,,,,,,,,,,,,,,,,,
,281,Seminole County Community Assistance — Prevention Assistance,Sanford,"520 W Lake Mary Blvd, Suite 100, Sanford, FL 32773",407-665-2300,Assistance Program,"eviction_prevention, rent_assistance",,,,Seminole County,,,,,,,,,,,,,,,,,,,,,,,
,282,Seminole County Community Assistance — Prevention Assistance / Good Neighbor Utility Fund,Sanford,"1101 E First St, Sanford, FL 32771",407-665-2300,Assistance Program,"electric_bill, eviction_prevention, gas_bill",,,,Seminole County,,,,,,,,,,,,,,,,,,,,,,,
,283,Harvest Time International / Seminole County Food Pantry Network,Sanford,"225 Harvest Time Dr, Sanford, FL 32771",407-328-9900,Assistance Program,food_pantry,,,,Seminole County,,,,,,,,,,,,,,,,,,,,,,,
,284,One-Time Rental Assistance — Salvation Army / United Way of Lake & Sumter,Varies by provider,Varies by provider,352-568-2284,Assistance Program,rent_assistance,,,,Sumter County,,,,,,,,,,,,,,,,,,,,,,,
,285,You Thrive Florida — LIHEAP,Sumter County,Verify current Sumter intake location,352-769-1425,Assistance Program,"electric_bill, gas_bill",,,,Sumter County,,,,,,,,,,,,,,,,,,,,,,,
